50011	2015-12-05 01:01:31	2015-12-05 01:22:01
50011	2015-12-05 09:48:20	2015-12-05 17:16:46
50011	2015-12-06 11:08:06	2015-12-06 11:09:01
50011	2015-12-06 21:18:05	2015-12-06 21:21:34
50011	2015-12-06 21:36:53	2015-12-06 23:59:59
50011	2015-12-07 00:00:00	2015-12-07 00:16:22
50011	2015-12-07 11:03:28	2015-12-07 13:40:57
50011	2015-12-07 13:42:56	2015-12-07 18:21:06
50011	2015-12-07 18:28:36	2015-12-07 19:12:03
50011	2015-12-08 12:56:24	2015-12-08 19:00:09
50011	2015-12-09 13:44:58	2015-12-09 15:18:05
50011	2015-12-09 20:51:10	2015-12-09 22:19:10
50011	2015-12-09 22:29:20	2015-12-09 22:31:41
50012	2015-12-10 12:59:49	2015-12-10 19:28:58
50012	2015-12-06 15:35:37	2015-12-06 15:36:22
50012	2015-12-08 12:38:44	2015-12-08 12:49:18
50012	2015-12-10 15:35:13	2015-12-10 15:36:55
50013	2015-12-12 13:29:52	2015-12-12 13:31:26
50013	2015-12-05 14:14:53	2015-12-05 16:35:33
50013	2015-12-06 12:54:30	2015-12-06 13:45:58
50013	2015-12-07 12:51:00	2015-12-07 15:30:12
50013	2015-12-08 04:16:37	2015-12-08 06:18:30
50013	2015-12-09 21:04:17	2015-12-09 21:40:22
50013	2015-12-10 21:12:11	2015-12-10 23:59:59
50013	2015-12-11 00:00:00	2015-12-11 00:44:48
50013	2015-12-11 00:46:16	2015-12-11 01:44:20
50014	2015-12-11 20:48:13	2015-12-11 22:58:23
50014	2015-12-11 06:31:55	2015-12-11 06:35:18
50014	2015-12-11 20:08:48	2015-12-11 20:26:50
50014	2015-12-11 20:52:03	2015-12-11 23:59:59
50014	2015-12-12 00:00:00	2015-12-12 00:49:39
50014	2015-12-12 16:57:27	2015-12-12 17:08:11
50014	2015-12-12 17:26:00	2015-12-12 18:36:34
50015	2015-12-12 23:49:36	2015-12-12 23:50:28
50015	2015-12-06 00:35:54	2015-12-06 01:22:16
50015	2015-12-07 16:59:48	2015-12-07 18:01:42
50015	2015-12-08 20:00:28	2015-12-08 20:00:56
50015	2015-12-08 20:02:22	2015-12-08 22:00:39
50015	2015-12-10 21:19:25	2015-12-10 21:31:34
50015	2015-12-11 20:39:33	2015-12-11 20:40:11
50015	2015-12-11 20:43:41	2015-12-11 20:44:08
50015	2015-12-11 20:52:12	2015-12-11 21:23:15
50016	2015-12-11 21:24:04	2015-12-11 22:55:21
50016	2015-12-05 15:07:12	2015-12-05 15:07:41
50016	2015-12-05 15:18:55	2015-12-05 16:40:57
50016	2015-12-05 20:24:03	2015-12-05 21:56:12
50016	2015-12-06 13:03:59	2015-12-06 14:53:53
50016	2015-12-06 15:11:50	2015-12-06 15:20:50
50016	2015-12-06 19:58:22	2015-12-06 21:46:51
50016	2015-12-07 11:34:43	2015-12-07 12:43:50
50016	2015-12-07 13:51:31	2015-12-07 13:59:42
50016	2015-12-07 20:09:02	2015-12-07 21:58:16
50016	2015-12-08 09:54:40	2015-12-08 10:02:27
50016	2015-12-08 10:23:20	2015-12-08 11:25:43
50016	2015-12-08 12:04:45	2015-12-08 13:17:52
50016	2015-12-08 14:27:04	2015-12-08 17:58:30
50016	2015-12-08 20:04:54	2015-12-08 22:34:41
50016	2015-12-08 22:59:50	2015-12-08 23:04:40
50016	2015-12-09 12:22:17	2015-12-09 12:25:58
50016	2015-12-09 13:46:20	2015-12-09 15:19:28
50016	2015-12-09 17:44:37	2015-12-09 18:17:43
50016	2015-12-09 21:54:54	2015-12-09 22:11:34
50016	2015-12-10 10:44:23	2015-12-10 11:14:01
50016	2015-12-10 13:10:13	2015-12-10 13:25:23
50016	2015-12-10 17:03:56	2015-12-10 17:14:12
50016	2015-12-10 21:32:36	2015-12-10 22:14:09
50016	2015-12-11 11:06:38	2015-12-11 11:46:17
50016	2015-12-11 14:05:04	2015-12-11 14:14:59
50016	2015-12-11 20:06:10	2015-12-11 20:17:06
50016	2015-12-12 11:32:18	2015-12-12 11:49:34
50016	2015-12-12 13:12:29	2015-12-12 13:29:08
50016	2015-12-12 19:08:28	2015-12-12 19:29:36
50017	2015-12-12 21:17:49	2015-12-12 21:22:20
50017	2015-12-05 07:31:34	2015-12-05 08:01:17
50017	2015-12-07 09:08:28	2015-12-07 09:50:53
50017	2015-12-07 22:20:42	2015-12-07 22:36:00
50017	2015-12-11 04:23:31	2015-12-11 05:58:17
50018	2015-12-12 04:50:02	2015-12-12 12:12:29
50018	2015-12-05 00:34:35	2015-12-05 02:07:01
