500000188	1000002	1
500000411	1000002	1
500000492	1000002	1
500001473	1000002	1
500002135	1000002	1
500002829	1000002	1
500004652	1000002	1
500004955	1000002	1
500004986	1000002	1
500006312	1000002	1
500011143	1000002	1
500011785	1000002	1
500013483	1000002	1
500013549	1000002	1
500017354	1000002	1
500017480	1000002	1
500019154	1000002	1
500020084	1000002	1
500020867	1000002	1
500022400	1000002	1
500029082	1000002	1
500030849	1000002	1
500033280	1000002	1
500039476	1000002	1
500042590	1000002	1
500046476	1000002	1
500048280	1000002	1
500049516	1000002	1
500052677	1000002	1
500054739	1000002	1
500054781	1000002	1
500057041	1000002	1
500058030	1000002	1
500058078	1000002	1
500058442	1000002	1
500058947	1000002	1
500061042	1000002	1
500061165	1000002	1
500064328	1000002	1
500065911	1000002	1
500066757	1000002	1
500068081	1000002	1
500069072	1000002	1
500074264	1000002	1
500074427	1000002	1
500074574	1000002	1
500079663	1000002	1
500084426	1000002	1
500084469	1000002	1
500084722	1000002	1
500086290	1000002	1
500086308	1000002	1
500091961	1000002	1
500097715	1000002	1
500101995	1000002	1
500102563	1000002	1
500104975	1000002	1
500105981	1000002	1
500106212	1000002	1
500107493	1000002	1
500108777	1000002	1
500111239	1000002	1
500116129	1000002	1
500116663	1000002	1
500116789	1000002	1
500121406	1000002	1
500122634	1000002	1
500122731	1000002	1
500125692	1000002	1
500126196	1000002	1
500126540	1000002	1
500126854	1000002	1
500131029	1000002	1
500131374	1000002	1
500131964	1000002	1
500132133	1000002	1
500134119	1000002	1
500136314	1000002	1
500137933	1000002	1
500138366	1000002	1
500139739	1000002	1
500145728	1000002	1
500146571	1000002	1
500150107	1000002	1
500152043	1000002	1
500155273	1000002	1
500155820	1000002	1
500156914	1000002	1
500157273	1000002	1
500157621	1000002	1
500158168	1000002	1
500161910	1000002	1
500161978	1000002	1
500163088	1000002	1
500168633	1000002	1
500168804	1000002	1
500172055	1000002	1
500172244	1000002	1
500172297	1000002	1
500177072	1000002	1
500180368	1000002	1
500180842	1000002	1
500183089	1000002	1
500196523	1000002	1
500198317	1000002	1
500198933	1000002	1
500204998	1000002	1
500205568	1000002	1
500206238	1000002	1
500206900	1000002	1
500207835	1000002	1
500208269	1000002	1
500209328	1000002	1
500210376	1000002	1
500217265	1000002	1
500220842	1000002	1
500222375	1000002	1
500227093	1000002	1
500228079	1000002	1
500228906	1000002	1
500230148	1000002	1
500232486	1000002	1
500233465	1000002	1
500238171	1000002	1
500242025	1000002	1
500242089	1000002	1
500243105	1000002	1
500243940	1000002	1
500245066	1000002	1
500248182	1000002	1
500255343	1000002	1
500256223	1000002	1
500256656	1000002	1
500258199	1000002	1
500258694	1000002	1
500259217	1000002	1
500261678	1000002	1
500261933	1000002	1
500262585	1000002	1
500263592	1000002	1
500263735	1000002	1
500264966	1000002	1
500265180	1000002	1
500266912	1000002	1
500268609	1000002	1
500269092	1000002	1
500269191	1000002	1
500275362	1000002	1
500275671	1000002	1
